date,open,high,low,close,volume,trade_count,vwap
2020-12-01,365.57,367.68,364.93,365.84,76822159.0,378052.0,366.371124
2020-12-02,364.82,366.96,364.2,366.82,47081427.0,275077.0,365.99504
2020-12-03,366.68,368.19,365.5,366.67,64123777.0,327424.0,366.952993
2020-12-04,367.32,369.85,367.22,369.78,51459007.0,252857.0,368.995412
2020-12-07,369.02,369.62,367.72,369.16,50031951.0,266705.0,368.815157
2020-12-08,367.72,370.78,367.67,370.19,45099196.0,226746.0,369.57764
2020-12-09,370.88,371.05,365.95,366.77,75525045.0,396722.0,368.007762
2020-12-10,365.37,367.86,364.43,366.87,59975429.0,308046.0,366.745804
2020-12-11,364.9,366.7402,363.26,366.14,58659075.0,305545.0,365.233579
2020-12-14,368.64,369.8,364.47,364.9,70722353.0,353011.0,366.884609
2020-12-15,367.4,369.59,365.92,369.56,65591667.0,285594.0,368.23569
2020-12-16,369.82,371.16,368.8676,370.06,59534034.0,289564.0,370.061542
2020-12-17,371.94,372.46,371.05,372.19,66592842.0,264948.0,371.916615
2020-12-18,370.97,371.15,367.02,369.15,143257901.0,473505.0,368.930487
2020-12-21,364.97,378.46,362.03,367.65,98396728.0,534198.0,366.009556
2020-12-22,368.21,368.3317,366.03,367.3,49425123.0,293480.0,367.400396
2020-12-23,368.28,369.62,367.2172,367.49,47321905.0,257919.0,368.660471
2020-12-24,368.08,369.03,367.45,369.03,27139624.0,134317.0,368.39863
2020-12-28,371.74,372.59,371.07,372.22,40460382.0,217157.0,372.003014
2020-12-29,373.81,374.0,370.83,371.62,54576638.0,281876.0,371.949008
2020-12-30,372.34,373.1,371.57,372.03,50615419.0,217867.0,372.230742
2020-12-31,371.78,374.66,371.232,374.25,80927738.0,301442.0,373.056129
2021-01-04,375.31,375.45,364.82,368.97,111804895.0,623066.0,368.825587
2021-01-05,368.1,372.5,368.05,371.4,67456696.0,338929.0,370.677822
2021-01-06,369.71,376.98,369.12,373.41,109080743.0,575346.0,374.17454
2021-01-07,376.1,379.9,375.91,379.13,70220837.0,366624.0,378.733811
2021-01-08,380.59,381.49,377.1,381.29,74338260.0,391374.0,380.132051
2021-01-11,377.85,380.58,377.7189,378.7,52148184.0,331775.0,379.02267
2021-01-12,378.89,379.86,376.36,378.66,53546073.0,319577.0,378.619097
2021-01-13,378.69,380.86,377.85,379.7,46290159.0,285329.0,379.742607
2021-01-14,380.59,381.13,378.1,378.58,50821683.0,277224.0,379.744389
2021-01-15,376.72,377.58,373.7,375.67,109520809.0,426037.0,375.961797
2021-01-19,378.34,379.23,376.75,378.64,52504155.0,295712.0,378.366594
2021-01-20,381.11,384.79,380.69,383.8,63340450.0,295871.0,383.308784
